,id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff,invalid_catch,block_mod,pred,ign_pred,ign_mod,relevant_expected,irrelevant_expected,v_learned,a_learned,att_learned,ign_learned,change_r,change,response
52,S01,22,Hombre,izquierda,1,0,auditory,64,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.6960450000001401,1,6.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,0.0,0.0,0
53,S01,22,Hombre,izquierda,1,0,auditory,65,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,1.0,diferente,0.3318189999999958,1,6.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,6.0,0.3,1
54,S01,22,Hombre,izquierda,1,0,auditory,66,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,diferente,0.919306400000096,0,6.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,0.0,0.0,1
55,S01,22,Hombre,izquierda,1,0,auditory,67,VP,90.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,1.1180739999999787,1,6.0,1.0,1,EXP,VP,visual,1,0,1,1,1,1,0.0,0.0,0
56,S01,22,Hombre,izquierda,1,0,auditory,68,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,1.0,diferente,0.6037537000001976,1,6.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,6.0,0.3,1
57,S01,22,Hombre,izquierda,1,0,auditory,69,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.4645399000000907,1,2.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,0.0,0.0,0
58,S01,22,Hombre,izquierda,1,0,auditory,71,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.5530800999999883,1,2.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,0.0,0.0,0
59,S01,22,Hombre,izquierda,1,1,visual,2,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.8338678999998592,1,32.0,0.0,1,EXP,EXP,auditory,1,1,1,0,1,0,0.0,0.0,0
60,S01,22,Hombre,izquierda,1,1,visual,3,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,1.0,diferente,1.0190888000001903,1,32.0,0.0,1,EXP,EXP,auditory,1,1,1,0,1,0,32.0,1.0,1
61,S01,22,Hombre,izquierda,1,1,visual,4,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,1.0,diferente,0.5883647000000565,1,32.0,0.0,1,EXP,EXP,auditory,1,1,1,1,1,1,32.0,1.0,1
