,id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff
6266,S37,18,Mujer,izquierda,2,1,visual,2,VP,0.0,135.0,,,,,,raro,0.0475222000386565,1,
6267,S37,18,Mujer,izquierda,2,1,visual,3,EXP,0.0,45.0,,,,,,frecuente,2.953250200022012,1,
6268,S37,18,Mujer,izquierda,2,1,visual,4,VP,0.0,135.0,,,,,,raro,3.343521799892187,1,
6269,S37,18,Mujer,izquierda,2,1,visual,5,EXP,0.0,45.0,,,,,,frecuente,0.6066302999388427,1,
6270,S37,18,Mujer,izquierda,2,1,visual,6,EXP,90.0,135.0,,,,,,raro,0.9527920000255108,0,
6271,S37,18,Mujer,izquierda,2,1,visual,7,EXP,90.0,135.0,,,,,,frecuente,0.3700227001681924,1,
7152,S38,18,Mujer,derecha,2,0,visual,0,VP,90.0,45.0,,,,,,frecuente,5.723629500018433,0,
7153,S38,18,Mujer,derecha,2,0,visual,1,VP,90.0,45.0,,,,,,frecuente,0.6269747000187635,0,
7154,S38,18,Mujer,derecha,2,0,visual,2,EXP,0.0,45.0,,,,,,frecuente,0.1429162999847903,1,
7155,S38,18,Mujer,derecha,2,0,visual,3,VP,0.0,135.0,,,,,,frecuente,0.3223710000747815,0,
7156,S38,18,Mujer,derecha,2,0,visual,4,EXP,90.0,135.0,,,,,,frecuente,0.1661802999442443,1,
7157,S38,18,Mujer,derecha,2,0,visual,5,VP,0.0,135.0,,,,,,frecuente,0.1191336000338196,0,
7158,S38,18,Mujer,derecha,2,0,visual,6,EXP,0.0,45.0,,,,,,frecuente,0.0367868000175803,1,
7159,S38,18,Mujer,derecha,2,0,visual,7,EXP,90.0,135.0,,,,,,frecuente,0.0270425000926479,1,
7160,S38,18,Mujer,derecha,2,1,auditory,0,,,,VP,1000.0,160.0,,,raro,1.1981574000092223,1,
7161,S38,18,Mujer,derecha,2,1,auditory,1,,,,VP,1600.0,100.0,,,frecuente,0.3256328999996185,0,
7162,S38,18,Mujer,derecha,2,1,auditory,2,,,,VP,1600.0,100.0,,,raro,0.2768981999251991,1,
7163,S38,18,Mujer,derecha,2,1,auditory,3,,,,EXP,1600.0,160.0,,,frecuente,0.9852816000347956,1,
7164,S38,18,Mujer,derecha,2,1,auditory,4,,,,EXP,1000.0,100.0,,,frecuente,1.0908697999548167,1,
7165,S38,18,Mujer,derecha,2,1,auditory,5,,,,VP,1000.0,160.0,,,frecuente,0.5172354000387713,0,
7166,S38,18,Mujer,derecha,2,1,auditory,6,,,,EXP,1000.0,100.0,,,raro,0.2207870999118313,0,
7167,S38,18,Mujer,derecha,2,1,auditory,7,,,,EXP,1600.0,160.0,,,frecuente,1.1660890999482945,1,
8048,S39,18,Mujer,derecha,2,0,visual,0,EXP,90.0,45.0,,,,,,frecuente,2.371462400013116,1,
8049,S39,18,Mujer,derecha,2,0,visual,1,VP,90.0,135.0,,,,,,frecuente,1.2571470999973826,0,
8050,S39,18,Mujer,derecha,2,0,visual,2,VP,0.0,45.0,,,,,,frecuente,0.307402300008107,0,
8051,S39,18,Mujer,derecha,2,0,visual,3,EXP,90.0,45.0,,,,,,frecuente,1.161831000004895,1,
8052,S39,18,Mujer,derecha,2,0,visual,4,VP,0.0,45.0,,,,,,frecuente,0.2052397000370547,0,
8053,S39,18,Mujer,derecha,2,0,visual,5,EXP,0.0,135.0,,,,,,frecuente,1.4334155999822542,1,
8054,S39,18,Mujer,derecha,2,0,visual,6,EXP,0.0,135.0,,,,,,frecuente,0.3356664999737404,1,
8055,S39,18,Mujer,derecha,2,0,visual,7,VP,90.0,135.0,,,,,,raro,0.8028756999992765,1,
8056,S39,18,Mujer,derecha,2,1,auditory,0,,,,EXP,1000.0,160.0,,,frecuente,2.029764100036118,1,
8057,S39,18,Mujer,derecha,2,1,auditory,1,,,,VP,1000.0,100.0,,,frecuente,0.608949700021185,0,
8058,S39,18,Mujer,derecha,2,1,auditory,2,,,,EXP,1600.0,100.0,,,frecuente,1.5950321999844164,1,
8059,S39,18,Mujer,derecha,2,1,auditory,3,,,,VP,1000.0,100.0,,,frecuente,0.3837476000189781,0,
8060,S39,18,Mujer,derecha,2,1,auditory,4,,,,EXP,1600.0,100.0,,,frecuente,0.172547599999234,1,
8061,S39,18,Mujer,derecha,2,1,auditory,5,,,,EXP,1000.0,160.0,,,raro,0.7426695000031032,0,
8062,S39,18,Mujer,derecha,2,1,auditory,6,,,,VP,1600.0,160.0,,,frecuente,0.4402196999872103,0,
8063,S39,18,Mujer,derecha,2,1,auditory,7,,,,VP,1600.0,160.0,,,frecuente,0.1730922000133432,0,
8944,S40,22,Mujer,derecha,2,0,visual,0,VP,0.0,135.0,,,,,,frecuente,4.611186399999497,0,
8945,S40,22,Mujer,derecha,2,0,visual,1,EXP,0.0,45.0,,,,,,frecuente,0.608321600000636,1,
